zeit,temp_wasser,temp_wuerfel
1327.4,53.38,28.25
1328.0,53.38,28.5
1328.6,53.38,28.25
1329.2,53.38,28.5
1329.8,53.31,28.75
1330.4,53.38,28.25
1331.0,53.31,28.25
1331.6,53.31,28.0
1332.2,53.31,28.0
1332.8,53.38,28.25
1333.4,53.38,28.5
1334.0,53.38,28.5
1334.6,53.38,28.0
1335.2,53.31,28.0
1335.8,53.38,28.0
1336.4,53.31,28.5
1337.0,53.31,28.5
1337.6,53.38,28.5
1338.2,53.38,28.25
1338.8,53.38,28.5
1339.4,53.31,28.5
1340.0,53.31,28.75
1340.6,53.31,28.5
1341.2,53.31,28.5
1341.8,53.31,28.5
1342.4,53.31,28.5
1343.0,53.31,28.25
1343.6,53.31,28.25
1344.2,53.31,28.25
1344.8,53.31,28.5
1345.4,53.31,28.5
1346.0,53.31,28.75
1346.6,53.31,28.5
1347.2,53.31,28.25
1347.8,53.31,28.5
1348.4,53.25,28.75
1349.0,53.31,28.0
1349.6,53.31,28.25
1350.2,53.31,28.5
1350.8,53.31,28.25
1351.4,53.25,28.5
1352.0,53.31,28.25
1352.6,53.31,28.25
1353.2,53.31,28.75
1353.8,53.31,28.5
1354.4,53.25,28.25
1355.0,53.25,28.0
1355.6,53.25,28.5
1356.3,53.25,28.5
1356.8,53.25,28.25
1357.4,53.25,28.5
1358.0,53.25,28.25
1358.6,53.25,28.75
1359.2,53.25,29.0
1359.8,53.25,28.25
1360.4,53.25,28.25
1361.0,53.25,28.25
1361.6,53.25,28.75
1362.2,53.19,28.0
1362.8,53.19,28.25
1363.4,53.19,28.25
1364.0,53.19,28.5
1364.6,53.19,28.5
1365.2,53.25,28.75
1365.8,53.19,28.0
1366.4,53.25,27.75
1367.0,53.25,28.25
1367.6,53.25,28.75
1368.2,53.25,28.75
1368.8,53.25,28.0
1369.4,53.25,28.25
1370.0,53.19,28.25
1370.6,53.19,28.5
1371.2,53.19,28.25
1371.8,53.19,28.25
1372.4,53.19,28.5
1373.0,53.19,28.25
1373.6,53.25,28.5
1374.2,53.19,28.5
1374.8,53.19,28.0
1375.4,53.19,27.75
1376.0,53.19,28.25
1376.6,53.19,28.0
1377.2,53.19,28.25
1377.8,53.19,28.5
1378.4,53.19,28.0
1379.0,53.19,28.25
1379.6,53.19,28.25
1380.2,53.19,28.25
1380.8,53.19,28.25
1381.4,53.13,27.75
1382.0,53.13,28.25
1382.6,53.19,28.25
1383.2,53.19,28.25
1383.8,53.13,28.5
1384.4,53.19,28.25
1385.0,53.19,28.5
1385.6,53.19,28.5
1386.2,53.13,28.5
1386.8,53.13,28.25
1387.4,53.13,28.25
1388.0,53.13,28.5
1388.6,53.13,28.5
1389.2,53.13,28.5
1389.8,53.13,28.25
1390.4,53.13,28.0
1391.0,53.13,28.5
1391.6,53.13,28.5
1392.2,53.13,28.5
1392.8,53.13,28.25
1393.4,53.13,28.25
1394.0,53.13,28.75
1394.6,53.13,28.25
1395.2,53.13,28.25
1395.8,53.13,28.25
1396.4,53.13,28.0
1397.0,53.06,28.25
1397.6,53.06,28.0
1398.2,53.13,28.5
1398.8,53.13,28.25
1399.4,53.13,28.5
1400.0,53.06,28.25
1400.6,53.06,28.5
1401.2,53.06,28.25
1401.8,53.13,28.5
1402.4,53.06,28.25
1403.0,53.06,28.25
1403.6,53.06,28.75
1404.2,53.06,28.75
1404.8,53.06,28.25
1405.4,53.06,28.5
1406.0,53.06,28.75
1406.6,53.06,28.25
1407.2,53.06,28.25
1407.7,53.06,28.75
1408.4,53.06,28.5
1408.9,53.06,28.25
1409.6,53.06,28.25
1410.1,53.0,28.5
1410.8,53.06,28.25
1411.3,53.0,28.5
1412.0,53.06,28.25
1412.5,53.06,28.25
1413.2,53.06,28.25
1413.7,53.06,28.5
1414.4,53.0,28.0
1414.9,53.06,28.0
1415.6,53.06,28.25
1416.1,53.06,27.75
1416.7,53.06,28.5
1417.3,53.0,28.5
1417.9,53.0,28.5
1418.5,53.0,28.25
1419.1,53.0,28.25
1419.7,53.0,27.75
1420.3,53.0,28.0
1420.9,53.0,28.5
1421.5,53.0,28.25
1422.1,53.0,28.25
1422.7,53.0,28.75
1423.3,53.0,28.0
1423.9,53.0,28.25
1424.5,53.0,28.5
1425.1,53.0,27.75
1425.7,53.0,27.75
1426.3,53.0,28.0
1426.9,53.0,28.5
1427.5,53.0,28.25
1428.1,52.94,28.5
1428.7,53.0,28.75
1429.3,53.0,28.5
1429.9,53.0,28.0
1430.5,53.0,28.5
1431.1,53.0,28.0
1431.7,53.0,28.5
1432.3,52.94,28.0
1432.9,53.0,28.25
1433.5,53.0,28.5
1434.1,53.0,28.25
1434.7,52.94,28.0
1435.3,53.0,28.5
1435.9,52.94,28.25
1436.5,52.94,28.25
1437.1,53.0,27.75
1437.7,52.94,28.5
1438.3,52.94,28.25
1438.9,52.94,28.25
1439.5,52.94,28.5
1440.1,52.94,28.25
1440.8,52.94,29.0
1441.3,52.94,28.75
1441.9,52.94,28.25
1442.5,52.94,28.25
1443.1,52.94,28.0
1443.7,52.94,28.25
1444.3,52.94,27.75
1444.9,52.94,28.0
1445.5,52.94,28.0
1446.1,52.94,28.5
1446.7,52.94,28.75
1447.3,52.94,28.5
1447.9,52.94,28.25
1448.5,52.94,28.5
1449.1,52.94,28.0
1449.7,52.94,28.75
1450.3,52.88,28.25
1450.9,52.94,29.25
1451.5,52.94,28.25
1452.1,52.94,28.0
1452.7,52.88,28.5
1453.3,52.94,28.75
1453.9,52.88,28.0
1454.5,52.94,28.5
1455.1,52.88,28.25
1455.7,52.88,28.0
1456.3,52.88,28.5
1456.9,52.88,28.5
1457.5,52.88,28.5
1458.1,52.88,28.25
1458.7,52.88,28.25
1459.3,52.88,28.25
1459.9,52.88,28.25
1460.5,52.88,28.25
1461.1,52.88,28.25
1461.7,52.88,28.25
1462.3,52.88,28.25
1462.9,52.88,28.25
1463.5,52.88,28.0
1464.1,52.88,28.25
1464.7,52.88,28.5
1465.3,52.88,28.25
1465.9,52.88,28.75
1466.5,52.88,28.25
1467.1,52.88,28.75
1467.7,52.88,28.0
1468.3,52.88,28.75
1468.9,52.88,28.75
1469.5,52.88,28.5
1470.1,52.88,28.75
1470.7,52.88,28.25
1471.3,52.88,28.25
1471.9,52.88,28.25
1472.5,52.88,28.5
1473.1,52.88,28.5
1473.7,52.81,28.25
1474.3,52.81,28.0
1474.9,52.75,28.25
1475.5,52.81,28.75
1476.1,52.81,28.75
1476.7,52.81,28.0
1477.3,52.81,28.5
1477.9,52.81,28.0
1478.5,52.81,28.25
1479.1,52.81,28.0
1479.7,52.81,28.0
1480.3,52.81,28.25
1480.9,52.81,28.25
1481.5,52.81,28.75
1482.1,52.81,28.5
1482.8,52.81,28.5
1483.3,52.81,28.25
1483.9,52.81,28.25
1484.5,52.81,28.25
1485.1,52.81,28.5
1485.7,52.81,28.25
1486.3,52.81,28.5
1486.9,52.81,27.75
1487.5,52.81,28.0
1488.1,52.75,28.25
1488.7,52.75,28.0
1489.3,52.75,28.25
1489.9,52.75,28.5
1490.5,52.75,28.75
1491.1,52.75,28.0
1491.7,52.75,28.75
1492.3,52.75,28.25
1492.9,52.75,28.5
1493.5,52.75,28.5
1494.1,52.75,28.5
1494.7,52.75,27.75
1495.3,52.75,28.5
1495.9,52.75,28.25
1496.5,52.75,28.0
1497.0,52.75,28.75
1497.7,52.75,28.5
1498.2,52.75,28.5
1498.9,52.75,28.5
1499.4,52.75,28.25
1500.1,52.75,28.25
1500.6,52.75,28.0
1501.3,52.75,28.25
1501.8,52.75,28.5
1502.5,52.75,28.5
1503.0,52.75,28.5
1503.7,52.75,28.25
1504.2,52.75,28.0
1504.9,52.69,28.25
1505.4,52.75,28.25
1506.0,52.75,28.5
1506.6,52.75,28.5
1507.2,52.69,27.75
1507.8,52.69,28.0
1508.4,52.75,28.25
1509.0,52.75,28.75
1509.6,52.69,28.5
1510.2,52.69,28.25
1510.8,52.69,28.25
1511.4,52.69,28.75
1512.0,52.69,28.5
1512.6,52.69,28.25
1513.2,52.69,28.25
1513.8,52.75,28.0
1514.4,52.69,28.5
1515.0,52.75,28.5
1515.6,52.75,28.5
1516.2,52.69,28.75
1516.8,52.69,28.5
1517.4,52.69,28.5
1518.0,52.69,28.25
1518.6,52.69,28.5
1519.2,52.69,28.25
1519.8,52.69,28.0
1520.4,52.69,28.5
1521.0,52.69,28.25
1521.6,52.69,28.5
1522.2,52.69,28.25
1522.8,52.69,28.5
1523.4,52.63,28.25
1524.0,52.63,28.25
1524.6,52.69,28.75
1525.2,52.69,28.75
1525.8,52.69,28.5
1526.4,52.63,28.25
1527.0,52.63,28.0
1527.6,52.63,28.75
1528.2,52.63,28.25
1528.8,52.63,28.25
1529.4,52.63,28.75
1530.0,52.63,28.5
1530.6,52.63,28.0
1531.2,52.63,28.25
1531.8,52.63,28.5
1532.4,52.63,28.25
1533.0,52.63,28.25
1533.6,52.63,28.25
1534.2,52.63,28.0
1534.8,52.63,28.5
1535.4,52.63,28.5
1536.0,52.63,28.0
1536.6,52.63,28.0
1537.2,52.56,28.5
1537.8,52.63,28.5
1538.4,52.56,28.5
1539.0,52.63,27.75
1539.6,52.56,28.5
1540.2,52.56,28.25
1540.8,52.63,28.25
1541.4,52.63,28.5
1542.0,52.56,28.0
1542.6,52.56,28.25
1543.2,52.63,28.0
1543.8,52.56,28.25
1544.4,52.63,28.5
1545.0,52.56,28.5
1545.6,52.56,28.0
1546.2,52.56,28.5
1546.8,52.56,28.25
1547.4,52.56,28.25
1548.0,52.56,28.25
